,Unnamed: 0,League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address,Date
3100,3100,LCK,2017,Spring,Season,ROX,0,1,SKT,39,Shy,Renekton,Mightybear,Elise,Mickey,TwistedFate,Sangyoon,Ashe,Key,Malzahar,Huni,Nautilus,Blank,Graves,Faker,Ahri,Bang,Ezreal,Wolf,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130619?gameHash=71ddcb5ffd2b4d38,3/29/2017
3101,3101,LCK,2017,Spring,Season,MVP,0,1,SSG,37,ADD,Gragas,Beyond,Graves,Ian,Ekko,MaHa,KogMaw,Max,Lulu,CuVee,Nautilus,Haru,LeeSin,Crown,Syndra,Ruler,Ezreal,CoreJJ,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130632?gameHash=f41ac464dd418e5b,3/29/2017
3102,3102,LCK,2017,Spring,Season,SSG,1,0,MVP,28,CuVee,Maokai,Ambition,Rengar,Crown,Taliyah,Ruler,Kalista,CoreJJ,Lulu,ADD,Shen,Beyond,Kindred,Ian,TwistedFate,MaHa,Lucian,Max,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/130637?gameHash=5195ee8326466f7a,3/29/2017
3103,3103,LCK,2017,Spring,Season,LZ,0,1,KDM,36,Expession,Gangplank,Crash,Khazix,Fly,Taliyah,PraY,Ezreal,GorillA,Nautilus,Roach,Shen,Punch,LeeSin,Edge,Ahri,SSol,Lucian,GuGer,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140673?gameHash=35fb9998884c8ce1,3/30/2017
3104,3104,LCK,2017,Spring,Season,KDM,0,1,LZ,33,Roach,Shen,Punch,LeeSin,Edge,Taliyah,SSol,Ezreal,GuGer,Zyra,Expession,Nautilus,Crash,Rengar,Fly,Orianna,PraY,Lucian,GorillA,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140696?gameHash=8bc73c6de92f4e7c,3/30/2017
3105,3105,LCK,2017,Spring,Season,LZ,0,1,KDM,42,Expession,Nautilus,Crash,Rengar,Fly,Ryze,PraY,Varus,GorillA,Karma,Roach,Shen,Punch,LeeSin,Edge,Leblanc,SSol,Ezreal,GuGer,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140697?gameHash=394ae82c6f5f4b1c,3/30/2017
3106,3106,LCK,2017,Spring,Season,AFs,1,0,kt,40,MaRin,Rumble,Spirit,LeeSin,Kuro,Talon,Kramer,Jhin,TusiN,Nautilus,Smeb,Kennen,Score,Rengar,Pawn,Vladimir,Deft,Ashe,Mata,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140699?gameHash=dcf9a4c090a37d0b,3/30/2017
3107,3107,LCK,2017,Spring,Season,kt,1,0,AFs,44,Smeb,Rumble,Score,Graves,Pawn,Orianna,Deft,Caitlyn,Mata,Karma,MaRin,DrMundo,Spirit,LeeSin,Kuro,Ahri,Kramer,Lucian,TusiN,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140710?gameHash=09b4260bc296eb42,3/30/2017
3108,3108,LCK,2017,Spring,Season,AFs,0,1,kt,43,MaRin,Gragas,Spirit,Graves,Kuro,Viktor,Kramer,Jhin,TusiN,Zyra,Smeb,Shen,Score,Elise,Pawn,Orianna,Deft,Ashe,Mata,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140713?gameHash=e31cde15b3c35be3,3/30/2017
3109,3109,LCK,2017,Spring,Season,ROX,0,1,SSG,32,Lindarang,Fiora,Seonghwan,Khazix,Mickey,TwistedFate,Sangyoon,Ashe,Key,Malzahar,CuVee,Nautilus,Haru,LeeSin,Crown,Syndra,Ruler,Ezreal,CoreJJ,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140812?gameHash=c95730778287edf3,4/1/2017
3110,3110,LCK,2017,Spring,Season,SSG,1,0,ROX,37,CuVee,Nautilus,Ambition,Khazix,Crown,Ryze,Stitch,Ashe,Wraith,Lux,Lindarang,Maokai,Seonghwan,LeeSin,Mickey,Taliyah,Sangyoon,Jhin,Key,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140821?gameHash=ea45fe0456337f18,4/1/2017
3111,3111,LCK,2017,Spring,Season,MVP,0,1,SKT,31,ADD,Nautilus,Beyond,Rengar,Ian,Syndra,MaHa,Varus,Max,Zyra,Huni,Fizz,Peanut,Graves,Faker,Ahri,Bang,Ashe,Wolf,MissFortune,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140826?gameHash=bd2294dd3462a75b,4/1/2017
3112,3112,LCK,2017,Spring,Season,SKT,1,0,MVP,32,Huni,Rumble,Peanut,Rengar,Faker,Syndra,Bang,Ezreal,Wolf,TahmKench,ADD,Fizz,Beyond,LeeSin,Ian,Ekko,MaHa,Ashe,Max,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140847?gameHash=088793e961a98ba3,4/1/2017
3113,3113,LCK,2017,Spring,Season,kt,1,0,LZ,33,Smeb,Renekton,Score,LeeSin,Pawn,Taliyah,Deft,Ashe,Mata,Karma,Expession,Nautilus,Crash,Graves,Fly,Ahri,PraY,Jhin,GorillA,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140924?gameHash=cfb9a8b590726a52,4/2/2017
3114,3114,LCK,2017,Spring,Season,LZ,0,1,kt,43,Expession,Kennen,Crash,LeeSin,Fly,Taliyah,PraY,Varus,GorillA,Nautilus,Smeb,Shen,Score,Elise,Pawn,Leblanc,Deft,Lucian,Mata,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140928?gameHash=337e6847642c0758,4/2/2017
3115,3115,LCK,2017,Spring,Season,JAG,1,0,bbq,29,SoHwan,Jayce,Raise,Elise,Kuzan,Orianna,Teddy,Ashe,SnowFlower,Velkoz,Part,Gragas,Bless,Graves,Tempt,Taliyah,Ghost,Jhin,Totoro,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140930?gameHash=92271b4382f16aaa,4/2/2017
3116,3116,LCK,2017,Spring,Season,bbq,1,0,JAG,59,Part,Nautilus,Bless,Khazix,Tempt,Syndra,Ghost,KogMaw,Totoro,Malzahar,ikssu,Gragas,UmTi,Graves,Kuzan,Ahri,Teddy,Varus,SnowFlower,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140947?gameHash=3350d043ac747003,4/2/2017
3117,3117,LCK,2017,Spring,Season,JAG,1,0,bbq,32,SoHwan,Renekton,Raise,Elise,Kuzan,Taliyah,Teddy,Varus,SnowFlower,Zyra,Part,Rumble,Bless,Graves,Tempt,Zed,Ghost,Lucian,Totoro,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140950?gameHash=11614ee6f1ff3790,4/2/2017
3118,3118,LCK,2017,Spring,Season,AFs,1,0,MVP,30,MaRin,Nautilus,Spirit,LeeSin,Kuro,Syndra,Kramer,Varus,TusiN,Karma,ADD,Renekton,Beyond,Rengar,Ian,Ahri,MaHa,Ashe,Max,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140965?gameHash=9a56ff6ddbe22af3,4/2/2017
3119,3119,LCK,2017,Spring,Playoffs,AFs,0,1,MVP,43,MaRin,Nautilus,Spirit,Elise,Kuro,Ekko,Kramer,Ashe,TusiN,Lulu,ADD,JarvanIV,Beyond,LeeSin,Ian,Syndra,MaHa,Varus,Max,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/160160?gameHash=e4e86629b666613c,4/7/2017
3120,3120,LCK,2017,Spring,Playoffs,AFs,0,1,MVP,29,MaRin,Nautilus,Spirit,LeeSin,Kuro,Ekko,Kramer,Ashe,TusiN,Lulu,ADD,JarvanIV,Beyond,Elise,Ian,Syndra,MaHa,Varus,Max,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/160172?gameHash=ff2405178c19fe69,4/7/2017
3121,3121,LCK,2017,Spring,Playoffs,MVP,0,1,kt,30,ADD,Nautilus,Beyond,Elise,Ian,Leblanc,MaHa,Ashe,Max,Lulu,Smeb,Rumble,Score,LeeSin,Pawn,Corki,Deft,Varus,Mata,Malzahar,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/160298?gameHash=db09b736c1753cab,4/11/2017
3122,3122,LCK,2017,Spring,Playoffs,kt,1,0,MVP,37,Smeb,Kennen,Score,Graves,Pawn,Ryze,Deft,Varus,Mata,Zyra,ADD,Sion,Beyond,LeeSin,Ian,Leblanc,MaHa,Ashe,Max,Blitzcrank,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/160309?gameHash=b4a5f6f4c3a5902f,4/11/2017
3123,3123,LCK,2017,Spring,Playoffs,kt,1,0,MVP,42,Smeb,Camille,Score,Elise,Pawn,Viktor,Deft,Ashe,Mata,MissFortune,ADD,Poppy,Beyond,Graves,Ian,Orianna,MaHa,Jhin,Max,Malzahar,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/160311?gameHash=9b3d29550b5ae5ea,4/11/2017
3124,3124,LCK,2017,Spring,Playoffs,kt,1,0,SSG,26,Smeb,Rumble,Score,Rengar,Pawn,Leblanc,Deft,Caitlyn,Mata,Malzahar,CuVee,Kennen,Haru,LeeSin,Crown,Taliyah,Ruler,Lucian,CoreJJ,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/150413?gameHash=a2932a243a0fabfc,4/15/2017
3125,3125,LCK,2017,Spring,Playoffs,kt,1,0,SSG,31,Smeb,Kennen,Score,Elise,Pawn,Ekko,Deft,Ashe,Mata,Lulu,CuVee,Jayce,Haru,Graves,Crown,Syndra,Ruler,Lucian,CoreJJ,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/150422?gameHash=30431d918df788c6,4/15/2017
3126,3126,LCK,2017,Spring,Playoffs,SSG,0,1,kt,35,CuVee,Nautilus,Ambition,Graves,Crown,Ryze,Stitch,Kalista,Wraith,Lulu,Smeb,Kennen,Score,LeeSin,Pawn,Malzahar,Deft,Jinx,Mata,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/150423?gameHash=2f74912b1c481b09,4/15/2017
3127,3127,LCK,2017,Spring,Playoffs,kt,0,1,SKT,37,Smeb,Jayce,Score,Elise,Pawn,Syndra,Deft,Ashe,Mata,Malzahar,Huni,Shen,Peanut,LeeSin,Faker,Fizz,Bang,Varus,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/170084?gameHash=79184fc02b5544db,4/22/2017
3128,3128,LCK,2017,Spring,Playoffs,kt,0,1,SKT,32,Smeb,Fiora,Score,Graves,Pawn,Leblanc,Deft,Ashe,Mata,Malzahar,Huni,Camille,Peanut,LeeSin,Faker,Karma,Bang,Twitch,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/170093?gameHash=47e0556f123b2106,4/22/2017
3129,3129,LCK,2017,Spring,Playoffs,kt,0,1,SKT,30,Smeb,Jayce,Score,Rengar,Pawn,Leblanc,Deft,Ashe,Mata,Karma,Huni,Gragas,Peanut,Graves,Faker,Lulu,Bang,Twitch,Wolf,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/180040?gameHash=c0a7a93d151421ac,4/22/2017
3130,3130,LCK,2017,Summer,Season,MVP,0,1,JAG,41,ADD,Sejuani,Beyond,Graves,Ian,Taliyah,MaHa,Ashe,Max,Thresh,ikssu,Jayce,UmTi,Ivern,Kuzan,Orianna,Teddy,Varus,SnowFlower,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240067?gameHash=00416ed438e29f14,5/30/2017
3131,3131,LCK,2017,Summer,Season,JAG,0,1,MVP,30,ikssu,JarvanIV,UmTi,LeeSin,Kuzan,Taliyah,Teddy,Varus,SnowFlower,Zyra,ADD,Sejuani,Beyond,Gragas,Ian,Karma,MaHa,Xayah,Max,Blitzcrank,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240080?gameHash=5172e5ff96310a6f,5/30/2017
3132,3132,LCK,2017,Summer,Season,MVP,1,0,JAG,40,ADD,Sejuani,Beyond,Elise,Ian,Karma,MaHa,Varus,Max,Bard,ikssu,Gragas,UmTi,LeeSin,Kuzan,Leblanc,Teddy,Ashe,SnowFlower,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240081?gameHash=a65efa208725746c,5/30/2017
3133,3133,LCK,2017,Summer,Season,LZ,1,0,kt,39,Khan,JarvanIV,Cuzz,Elise,Bdd,Orianna,PraY,Ashe,GorillA,Zyra,Smeb,Gragas,Score,Graves,Pawn,Taliyah,Deft,Varus,Mata,MissFortune,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240086?gameHash=340ff4a1620c77f6,5/30/2017
3134,3134,LCK,2017,Summer,Season,kt,0,1,LZ,33,Smeb,Galio,Score,Graves,Pawn,Fizz,Deft,Xayah,Mata,Lulu,Khan,JarvanIV,Cuzz,LeeSin,Bdd,Orianna,PraY,Ashe,GorillA,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240103?gameHash=2041a87ba42442c3,5/30/2017
3135,3135,LCK,2017,Summer,Season,EEW,1,0,AFs,43,Helper,Shen,Malrang,LeeSin,Cepted,Syndra,Deul,Caitlyn,Ella,TahmKench,MaRin,Fiora,Spirit,Olaf,Kuro,Taliyah,Kramer,Draven,TusiN,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240140?gameHash=3ffc7a89e61cf159,5/31/2017
3136,3136,LCK,2017,Summer,Season,AFs,1,0,EEW,50,MaRin,Rumble,Spirit,Olaf,Kuro,Galio,Kramer,Jhin,TusiN,Karma,Helper,Gragas,Malrang,Graves,Cepted,Orianna,Deul,Varus,Ella,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240141?gameHash=c8d5e3fc14aba49a,5/31/2017
3137,3137,LCK,2017,Summer,Season,EEW,0,1,AFs,37,Helper,Shen,Malrang,Olaf,Cepted,Orianna,Deul,Caitlyn,Ella,Thresh,MaRin,Gragas,Spirit,Elise,Kuro,Taliyah,Kramer,Ashe,TusiN,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240145?gameHash=60aa10cf86fa148a,5/31/2017
3138,3138,LCK,2017,Summer,Season,SSG,1,0,SKT,31,CuVee,Kled,Ambition,Elise,Crown,Taliyah,Ruler,Varus,CoreJJ,Zyra,Huni,Shen,Peanut,Olaf,Faker,Orianna,Bang,Caitlyn,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240148?gameHash=2ec1c7a0af7235d9,5/31/2017
3139,3139,LCK,2017,Summer,Season,SKT,0,1,SSG,30,Huni,Rumble,Peanut,Olaf,Faker,Galio,Bang,Ashe,Wolf,Karma,CuVee,Camille,Ambition,Gragas,Crown,Syndra,Ruler,Varus,CoreJJ,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/240162?gameHash=b50e1df55b310b75,5/31/2017
3140,3140,LCK,2017,Summer,Season,LZ,1,0,bbq,37,Khan,Renekton,Cuzz,Elise,Bdd,Zed,PraY,Varus,GorillA,Zyra,Crazy,JarvanIV,Bless,LeeSin,Tempt,Cassiopeia,Ghost,Caitlyn,Totoro,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/250218?gameHash=5472f38b19f957b0,6/1/2017
3141,3141,LCK,2017,Summer,Season,bbq,1,0,LZ,33,Crazy,Kennen,Bless,LeeSin,Tempt,Vladimir,Ghost,Kalista,Totoro,Thresh,Khan,JarvanIV,Cuzz,RekSai,Bdd,Kassadin,PraY,Caitlyn,GorillA,Zyra,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/250221?gameHash=f7f0211e5e1c2a69,6/1/2017
3142,3142,LCK,2017,Summer,Season,LZ,1,0,bbq,38,Khan,Fiora,Cuzz,Zac,Bdd,Kassadin,PraY,Twitch,GorillA,Thresh,Crazy,JarvanIV,Bless,LeeSin,Tempt,Taliyah,Ghost,Caitlyn,Totoro,TahmKench,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/250224?gameHash=b57b8941bf284683,6/1/2017
3143,3143,LCK,2017,Summer,Season,ROX,0,1,JAG,38,Lindarang,Jayce,Seonghwan,Olaf,Mickey,Orianna,Sangyoon,Twitch,Key,Thresh,ikssu,Sejuani,UmTi,LeeSin,Kuzan,Galio,Teddy,Caitlyn,SnowFlower,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/250228?gameHash=5f02fede7a5b3c71,6/1/2017
