Champions,ban_pos,TeamBan,Date
Nunu,ban_1,blueBans,2015-04-05
TwistedFate,ban_1,blueBans,2015-04-05
TwistedFate,ban_1,blueBans,2015-04-05
TwistedFate,ban_1,blueBans,2015-04-06
Vladimir,ban_1,blueBans,2015-04-11
Nidalee,ban_1,blueBans,2015-04-11
Vladimir,ban_1,blueBans,2015-04-12
Nidalee,ban_1,blueBans,2015-04-12
Vladimir,ban_1,blueBans,2015-04-12
Rumble,ban_1,blueBans,2015-04-12
Sejuani,ban_1,blueBans,2015-04-12
Sejuani,ban_1,blueBans,2015-04-13
Sejuani,ban_1,blueBans,2015-04-13
Maokai,ban_1,blueBans,2015-04-18
Orianna,ban_1,blueBans,2015-04-18
Orianna,ban_1,blueBans,2015-04-19
Orianna,ban_1,blueBans,2015-04-19
Sion,ban_1,blueBans,2015-04-19
Rumble,ban_1,blueBans,2015-04-19
Thresh,ban_1,blueBans,2015-04-19
Rumble,ban_1,blueBans,2015-04-20
Thresh,ban_1,blueBans,2015-04-20
Ahri,ban_1,blueBans,2015-08-08
Maokai,ban_1,blueBans,2015-08-08
Kalista,ban_1,blueBans,2015-08-08
Diana,ban_1,blueBans,2015-08-09
Diana,ban_1,blueBans,2015-08-10
Rumble,ban_1,blueBans,2015-08-10
Kalista,ban_1,blueBans,2015-08-10
Azir,ban_1,blueBans,2015-08-15
TwistedFate,ban_1,blueBans,2015-08-15
Nidalee,ban_1,blueBans,2015-08-15
Olaf,ban_1,blueBans,2015-08-16
Janna,ban_1,blueBans,2015-08-16
Olaf,ban_1,blueBans,2015-08-16
Kalista,ban_1,blueBans,2015-08-17
Elise,ban_1,blueBans,2015-08-22
Vayne,ban_1,blueBans,2015-08-23
Nidalee,ban_1,blueBans,2015-08-23
Vayne,ban_1,blueBans,2015-08-23
Azir,ban_1,blueBans,2015-08-23
Kalista,ban_1,blueBans,2015-08-24
Azir,ban_1,blueBans,2015-08-24
Urgot,ban_1,blueBans,2015-08-29
Urgot,ban_1,blueBans,2015-08-29
Urgot,ban_1,blueBans,2015-08-29
Urgot,ban_1,blueBans,2015-08-29
Urgot,ban_1,blueBans,2015-08-30
Lulu,ban_1,blueBans,2015-08-30
Lulu,ban_1,blueBans,2015-08-30
Braum,ban_1,blueBans,2015-08-31
Soraka,ban_1,blueBans,2015-08-31
Braum,ban_1,blueBans,2015-08-31
Rumble,ban_1,blueBans,2015-08-31
Gangplank,ban_1,blueBans,2015-08-31
Draven,ban_1,blueBans,2015-08-31
Gangplank,ban_1,blueBans,2015-08-31
Fiora,ban_1,blueBans,2016-01-16
Alistar,ban_1,blueBans,2016-01-16
TahmKench,ban_1,blueBans,2016-01-16
Kindred,ban_1,blueBans,2016-01-17
Graves,ban_1,blueBans,2016-01-17
TwistedFate,ban_1,blueBans,2016-01-17
Lulu,ban_1,blueBans,2016-01-17
Graves,ban_1,blueBans,2016-01-17
Nidalee,ban_1,blueBans,2016-01-18
Graves,ban_1,blueBans,2016-01-18
Thresh,ban_1,blueBans,2016-01-23
Elise,ban_1,blueBans,2016-01-23
Poppy,ban_1,blueBans,2016-01-23
Kalista,ban_1,blueBans,2016-01-24
Elise,ban_1,blueBans,2016-01-24
Elise,ban_1,blueBans,2016-01-24
TahmKench,ban_1,blueBans,2016-01-24
Nidalee,ban_1,blueBans,2016-01-24
Lulu,ban_1,blueBans,2016-01-25
Elise,ban_1,blueBans,2016-01-30
Poppy,ban_1,blueBans,2016-01-30
Fiora,ban_1,blueBans,2016-01-30
TahmKench,ban_1,blueBans,2016-01-30
Kalista,ban_1,blueBans,2016-01-31
Gangplank,ban_1,blueBans,2016-01-31
Lulu,ban_1,blueBans,2016-01-31
Ryze,ban_1,blueBans,2016-01-31
Corki,ban_1,blueBans,2016-01-31
Kalista,ban_1,blueBans,2016-02-01
Elise,ban_1,blueBans,2016-02-06
Kalista,ban_1,blueBans,2016-02-06
Quinn,ban_1,blueBans,2016-02-06
Lissandra,ban_1,blueBans,2016-02-06
Alistar,ban_1,blueBans,2016-02-07
Poppy,ban_1,blueBans,2016-02-07
Corki,ban_1,blueBans,2016-02-07
Gangplank,ban_1,blueBans,2016-02-07
Poppy,ban_1,blueBans,2016-02-07
Gangplank,ban_1,blueBans,2016-02-08
Ryze,ban_1,blueBans,2016-02-13
Ryze,ban_1,blueBans,2016-02-13
Elise,ban_1,blueBans,2016-02-13
Syndra,ban_1,blueBans,2016-02-13
Poppy,ban_1,blueBans,2016-02-14
Ryze,ban_1,blueBans,2016-02-14
Zilean,ban_1,blueBans,2016-02-14
Poppy,ban_1,blueBans,2016-02-14
Ryze,ban_1,blueBans,2016-02-14
Alistar,ban_1,blueBans,2016-02-15
Corki,ban_1,blueBans,2016-02-20
Fiora,ban_1,blueBans,2016-02-20
Nidalee,ban_1,blueBans,2016-02-20
Graves,ban_1,blueBans,2016-02-21
Leblanc,ban_1,blueBans,2016-02-21
Fiora,ban_1,blueBans,2016-02-21
Fiora,ban_1,blueBans,2016-02-21
Gangplank,ban_1,blueBans,2016-02-21
Malphite,ban_1,blueBans,2016-02-22
Fiora,ban_1,blueBans,2016-02-22
Poppy,ban_1,blueBans,2016-02-27
KogMaw,ban_1,blueBans,2016-02-27
Kalista,ban_1,blueBans,2016-02-27
Lulu,ban_1,blueBans,2016-02-27
Lulu,ban_1,blueBans,2016-02-28
Poppy,ban_1,blueBans,2016-02-28
Kalista,ban_1,blueBans,2016-02-28
Braum,ban_1,blueBans,2016-02-28
Corki,ban_1,blueBans,2016-02-29
Corki,ban_1,blueBans,2016-02-29
Jhin,ban_1,blueBans,2016-03-12
Nautilus,ban_1,blueBans,2016-03-12
Jhin,ban_1,blueBans,2016-03-12
Corki,ban_1,blueBans,2016-03-13
Kindred,ban_1,blueBans,2016-03-13
Lissandra,ban_1,blueBans,2016-03-13
Poppy,ban_1,blueBans,2016-03-13
Zed,ban_1,blueBans,2016-03-13
Gangplank,ban_1,blueBans,2016-03-13
Udyr,ban_1,blueBans,2016-03-13
Lissandra,ban_1,blueBans,2016-03-19
Braum,ban_1,blueBans,2016-03-19
Kindred,ban_1,blueBans,2016-03-19
Azir,ban_1,blueBans,2016-03-19
Lulu,ban_1,blueBans,2016-03-19
Gangplank,ban_1,blueBans,2016-03-20
Soraka,ban_1,blueBans,2016-03-20
TwistedFate,ban_1,blueBans,2016-03-20
Braum,ban_1,blueBans,2016-03-20
Gangplank,ban_1,blueBans,2016-03-20
Lissandra,ban_1,blueBans,2016-03-21
Kindred,ban_1,blueBans,2016-06-04
Zilean,ban_1,blueBans,2016-06-04
Ryze,ban_1,blueBans,2016-06-04
Lissandra,ban_1,blueBans,2016-06-04
Ryze,ban_1,blueBans,2016-06-04
Swain,ban_1,blueBans,2016-06-04
Azir,ban_1,blueBans,2016-06-04
Swain,ban_1,blueBans,2016-06-04
Azir,ban_1,blueBans,2016-06-05
Vladimir,ban_1,blueBans,2016-06-05
Lucian,ban_1,blueBans,2016-06-05
Braum,ban_1,blueBans,2016-06-05
Lucian,ban_1,blueBans,2016-06-05
Azir,ban_1,blueBans,2016-06-06
Swain,ban_1,blueBans,2016-06-06
Azir,ban_1,blueBans,2016-06-06
Kindred,ban_1,blueBans,2016-06-04
Nidalee,ban_1,blueBans,2016-06-04
Zyra,ban_1,blueBans,2016-06-04
Lucian,ban_1,blueBans,2016-06-05
Azir,ban_1,blueBans,2016-06-05
Karma,ban_1,blueBans,2016-06-05
Maokai,ban_1,blueBans,2016-06-05
Ekko,ban_1,blueBans,2016-06-05
Ekko,ban_1,blueBans,2016-06-11
Twitch,ban_1,blueBans,2016-06-11
Ashe,ban_1,blueBans,2016-06-11
Maokai,ban_1,blueBans,2016-06-11
Ryze,ban_1,blueBans,2016-06-11
Lissandra,ban_1,blueBans,2016-06-11
Trundle,ban_1,blueBans,2016-06-11
Anivia,ban_1,blueBans,2016-06-11
Jax,ban_1,blueBans,2016-06-11
Ashe,ban_1,blueBans,2016-06-11
Vladimir,ban_1,blueBans,2016-06-12
Ashe,ban_1,blueBans,2016-06-12
Zyra,ban_1,blueBans,2016-06-12
Vladimir,ban_1,blueBans,2016-06-12
TwistedFate,ban_1,blueBans,2016-06-12
Azir,ban_1,blueBans,2016-06-12
Anivia,ban_1,blueBans,2016-06-13
Fiora,ban_1,blueBans,2016-06-11
Zyra,ban_1,blueBans,2016-06-11
Caitlyn,ban_1,blueBans,2016-06-11
Leblanc,ban_1,blueBans,2016-06-12
Zyra,ban_1,blueBans,2016-06-12
Lissandra,ban_1,blueBans,2016-06-12
Maokai,ban_1,blueBans,2016-06-12
Vladimir,ban_1,blueBans,2016-06-13
Karma,ban_1,blueBans,2016-06-18
TwistedFate,ban_1,blueBans,2016-06-18
Zilean,ban_1,blueBans,2016-06-18
Kindred,ban_1,blueBans,2016-06-18
RekSai,ban_1,blueBans,2016-06-18
Vladimir,ban_1,blueBans,2016-06-18
Zyra,ban_1,blueBans,2016-06-18
Illaoi,ban_1,blueBans,2016-06-18
Trundle,ban_1,blueBans,2016-06-19
Illaoi,ban_1,blueBans,2016-06-19
Trundle,ban_1,blueBans,2016-06-19
Kindred,ban_1,blueBans,2016-06-19
Soraka,ban_1,blueBans,2016-06-19
Anivia,ban_1,blueBans,2016-06-19
Anivia,ban_1,blueBans,2016-06-18
Ashe,ban_1,blueBans,2016-06-18
RekSai,ban_1,blueBans,2016-06-18
Sivir,ban_1,blueBans,2016-06-18
Nidalee,ban_1,blueBans,2016-06-19
Azir,ban_1,blueBans,2016-06-19
Fiora,ban_1,blueBans,2016-06-19
Azir,ban_1,blueBans,2016-06-19
Swain,ban_1,blueBans,2016-06-20
Azir,ban_1,blueBans,2016-06-20
Swain,ban_1,blueBans,2016-06-20
Rumble,ban_1,blueBans,2016-06-25
Jax,ban_1,blueBans,2016-06-25
Rumble,ban_1,blueBans,2016-06-25
Azir,ban_1,blueBans,2016-06-25
Lissandra,ban_1,blueBans,2016-06-25
Azir,ban_1,blueBans,2016-06-25
Irelia,ban_1,blueBans,2016-06-25
Soraka,ban_1,blueBans,2016-06-25
Twitch,ban_1,blueBans,2016-06-26
Azir,ban_1,blueBans,2016-06-26
Jax,ban_1,blueBans,2016-06-26
Shen,ban_1,blueBans,2016-06-26
Anivia,ban_1,blueBans,2016-06-25
Trundle,ban_1,blueBans,2016-06-25
Anivia,ban_1,blueBans,2016-06-25
Azir,ban_1,blueBans,2016-06-26
Vladimir,ban_1,blueBans,2016-06-26
Azir,ban_1,blueBans,2016-06-26
Azir,ban_1,blueBans,2016-06-26
Lissandra,ban_1,blueBans,2016-06-26
Anivia,ban_1,blueBans,2016-06-26
Trundle,ban_1,blueBans,2016-06-27
Karma,ban_1,blueBans,2016-07-02
Cassiopeia,ban_1,blueBans,2016-07-02
Trundle,ban_1,blueBans,2016-07-02
Nidalee,ban_1,blueBans,2016-07-02
Cassiopeia,ban_1,blueBans,2016-07-02
Nidalee,ban_1,blueBans,2016-07-02
Elise,ban_1,blueBans,2016-07-02
Twitch,ban_1,blueBans,2016-07-02
Braum,ban_1,blueBans,2016-07-02
Azir,ban_1,blueBans,2016-07-02
Swain,ban_1,blueBans,2016-07-03
Kindred,ban_1,blueBans,2016-07-03
Sivir,ban_1,blueBans,2016-07-03
Zilean,ban_1,blueBans,2016-07-04
Azir,ban_1,blueBans,2016-07-04
RekSai,ban_1,blueBans,2016-07-02
Shen,ban_1,blueBans,2016-07-02
Swain,ban_1,blueBans,2016-07-02
Azir,ban_1,blueBans,2016-07-02
Twitch,ban_1,blueBans,2016-07-03
Anivia,ban_1,blueBans,2016-07-03
Braum,ban_1,blueBans,2016-07-03
Karma,ban_1,blueBans,2016-07-04
Shen,ban_1,blueBans,2016-07-09
Sivir,ban_1,blueBans,2016-07-09
Azir,ban_1,blueBans,2016-07-09
Trundle,ban_1,blueBans,2016-07-09
Fiora,ban_1,blueBans,2016-07-09
Twitch,ban_1,blueBans,2016-07-09
Soraka,ban_1,blueBans,2016-07-09
Irelia,ban_1,blueBans,2016-07-10
Soraka,ban_1,blueBans,2016-07-10
Irelia,ban_1,blueBans,2016-07-10
JarvanIV,ban_1,blueBans,2016-07-10
Shen,ban_1,blueBans,2016-07-10
Jax,ban_1,blueBans,2016-07-10
Shen,ban_1,blueBans,2016-07-11
Anivia,ban_1,blueBans,2016-07-09
Twitch,ban_1,blueBans,2016-07-09
Anivia,ban_1,blueBans,2016-07-09
Azir,ban_1,blueBans,2016-07-09
Lissandra,ban_1,blueBans,2016-07-10
Azir,ban_1,blueBans,2016-07-10
Braum,ban_1,blueBans,2016-07-10
Soraka,ban_1,blueBans,2016-07-10
Azir,ban_1,blueBans,2016-07-10
Soraka,ban_1,blueBans,2016-07-11
Taliyah,ban_1,blueBans,2016-07-15
Jax,ban_1,blueBans,2016-07-16
Viktor,ban_1,blueBans,2016-07-16
Azir,ban_1,blueBans,2016-07-16
Illaoi,ban_1,blueBans,2016-07-16
Azir,ban_1,blueBans,2016-07-16
Anivia,ban_1,blueBans,2016-07-16
Rumble,ban_1,blueBans,2016-07-16
Trundle,ban_1,blueBans,2016-07-16
Braum,ban_1,blueBans,2016-07-17
Jax,ban_1,blueBans,2016-07-17
Malzahar,ban_1,blueBans,2016-07-17
Sivir,ban_1,blueBans,2016-07-17
Taliyah,ban_1,blueBans,2016-07-17
Shen,ban_1,blueBans,2016-07-18
Lissandra,ban_1,blueBans,2016-07-16
Twitch,ban_1,blueBans,2016-07-16
Viktor,ban_1,blueBans,2016-07-16
Malzahar,ban_1,blueBans,2016-07-17
Anivia,ban_1,blueBans,2016-07-17
Azir,ban_1,blueBans,2016-07-17
RekSai,ban_1,blueBans,2016-07-17
Malzahar,ban_1,blueBans,2016-07-17
Ashe,ban_1,blueBans,2016-07-18
Twitch,ban_1,blueBans,2016-07-22
Azir,ban_1,blueBans,2016-07-23
JarvanIV,ban_1,blueBans,2016-07-23
Anivia,ban_1,blueBans,2016-07-23
JarvanIV,ban_1,blueBans,2016-07-23
Shen,ban_1,blueBans,2016-07-23
Malzahar,ban_1,blueBans,2016-07-23
Shen,ban_1,blueBans,2016-07-23
Shen,ban_1,blueBans,2016-07-23
RekSai,ban_1,blueBans,2016-07-24
Hecarim,ban_1,blueBans,2016-07-24
Shen,ban_1,blueBans,2016-07-24
Malzahar,ban_1,blueBans,2016-07-24
Shen,ban_1,blueBans,2016-07-24
Ashe,ban_1,blueBans,2016-07-24
Shen,ban_1,blueBans,2016-07-23
Karma,ban_1,blueBans,2016-07-23
Malzahar,ban_1,blueBans,2016-07-23
Nidalee,ban_1,blueBans,2016-07-24
Gangplank,ban_1,blueBans,2016-07-24
Taliyah,ban_1,blueBans,2016-07-24
Bard,ban_1,blueBans,2016-07-24
Anivia,ban_1,blueBans,2016-07-24
Karma,ban_1,blueBans,2016-07-29
Rumble,ban_1,blueBans,2016-07-30
Vladimir,ban_1,blueBans,2016-07-30
Shen,ban_1,blueBans,2016-07-30
Vladimir,ban_1,blueBans,2016-07-30
Twitch,ban_1,blueBans,2016-07-30
Shen,ban_1,blueBans,2016-07-30
Twitch,ban_1,blueBans,2016-07-30
Anivia,ban_1,blueBans,2016-07-30
Zilean,ban_1,blueBans,2016-07-31
Twitch,ban_1,blueBans,2016-07-31
Shen,ban_1,blueBans,2016-07-31
Twitch,ban_1,blueBans,2016-07-31
Malzahar,ban_1,blueBans,2016-07-31
Vladimir,ban_1,blueBans,2016-08-01
Karma,ban_1,blueBans,2016-07-30
Soraka,ban_1,blueBans,2016-07-30
Karma,ban_1,blueBans,2016-07-30
Rumble,ban_1,blueBans,2016-07-30
Shen,ban_1,blueBans,2016-07-31
Rumble,ban_1,blueBans,2016-07-31
Hecarim,ban_1,blueBans,2016-07-31
Karma,ban_1,blueBans,2016-07-31
Irelia,ban_1,blueBans,2016-07-31
Anivia,ban_1,blueBans,2016-08-01
Trundle,ban_1,blueBans,2016-08-01
Corki,ban_1,blueBans,2016-04-02
Gangplank,ban_1,blueBans,2016-04-02
Graves,ban_1,blueBans,2016-04-02
Gangplank,ban_1,blueBans,2016-04-02
Sivir,ban_1,blueBans,2016-04-03
Poppy,ban_1,blueBans,2016-04-03
Sivir,ban_1,blueBans,2016-04-03
Azir,ban_1,blueBans,2016-04-09
Gangplank,ban_1,blueBans,2016-04-10
Azir,ban_1,blueBans,2016-04-10
Soraka,ban_1,blueBans,2016-04-10
Azir,ban_1,blueBans,2016-04-10
Azir,ban_1,blueBans,2016-04-10
Soraka,ban_1,blueBans,2016-04-10
Azir,ban_1,blueBans,2016-04-10
Kindred,ban_1,blueBans,2016-04-16
Soraka,ban_1,blueBans,2016-04-16
Kindred,ban_1,blueBans,2016-04-16
Zed,ban_1,blueBans,2016-04-17
Soraka,ban_1,blueBans,2016-04-17
Zed,ban_1,blueBans,2016-04-17
Soraka,ban_1,blueBans,2016-04-18
Azir,ban_1,blueBans,2016-04-18
Vladimir,ban_1,blueBans,2016-08-13
Vladimir,ban_1,blueBans,2016-08-13
Vladimir,ban_1,blueBans,2016-08-13
Shen,ban_1,blueBans,2016-08-14
Shen,ban_1,blueBans,2016-08-14
Shen,ban_1,blueBans,2016-08-14
Taliyah,ban_1,blueBans,2016-08-14
Taliyah,ban_1,blueBans,2016-08-14
Ekko,ban_1,blueBans,2016-08-20
Vladimir,ban_1,blueBans,2016-08-20
TahmKench,ban_1,blueBans,2016-08-21
Vladimir,ban_1,blueBans,2016-08-21
Sivir,ban_1,blueBans,2016-08-21
Bard,ban_1,blueBans,2016-08-21
TahmKench,ban_1,blueBans,2016-08-21
Bard,ban_1,blueBans,2016-08-21
Bard,ban_1,blueBans,2016-08-27
Rumble,ban_1,blueBans,2016-08-27
Rumble,ban_1,blueBans,2016-08-28
Rumble,ban_1,blueBans,2016-08-28
Bard,ban_1,blueBans,2016-08-28
Syndra,ban_1,blueBans,2016-08-28
Karma,ban_1,blueBans,2016-08-28
Syndra,ban_1,blueBans,2016-08-28
Karma,ban_1,blueBans,2016-08-29
Karma,ban_1,blueBans,2016-09-03
Karma,ban_1,blueBans,2016-09-03
Shen,ban_1,blueBans,2016-09-03
Karma,ban_1,blueBans,2016-09-04
TahmKench,ban_1,blueBans,2016-09-04
Sivir,ban_1,blueBans,2016-09-04
TahmKench,ban_1,blueBans,2016-09-05
Rumble,ban_1,blueBans,2016-09-05
Jhin,ban_1,blueBans,2016-09-06
Rumble,ban_1,blueBans,2016-09-06
Rengar,ban_1,blueBans,2017-01-20
Zyra,ban_1,blueBans,2017-01-21
Zyra,ban_1,blueBans,2017-01-21
Ryze,ban_1,blueBans,2017-01-21
Kalista,ban_1,blueBans,2017-01-21
Ryze,ban_1,blueBans,2017-01-21
Khazix,ban_1,blueBans,2017-01-21
Ryze,ban_1,blueBans,2017-01-21
Zyra,ban_1,blueBans,2017-01-21
Zyra,ban_1,blueBans,2017-01-22
Zyra,ban_1,blueBans,2017-01-22
Syndra,ban_1,blueBans,2017-01-21
Malzahar,ban_1,blueBans,2017-01-22
Syndra,ban_1,blueBans,2017-01-22
Syndra,ban_1,blueBans,2017-01-22
Zyra,ban_1,blueBans,2017-01-22
Fiora,ban_1,blueBans,2017-01-22
Ryze,ban_1,blueBans,2017-01-22
Malzahar,ban_1,blueBans,2017-01-22
Syndra,ban_1,blueBans,2017-01-23
MissFortune,ban_1,blueBans,2017-01-23
Syndra,ban_1,blueBans,2017-01-23
Corki,ban_1,blueBans,2017-01-22
Ryze,ban_1,blueBans,2017-01-23
Corki,ban_1,blueBans,2017-01-23
